Ticker,Stock Name,Price Code,Ratios Code,In Market?
DBRSY,De Beers Consol.,NA,DMDRN/DBRSY_ALLFINANCIALRATIOS,Not Active
DBSS,DBS Industries Inc,NA,DMDRN/DBSS_ALLFINANCIALRATIOS,Not Active
DBSY,Donlar Biosyntrex Corp,NA,DMDRN/DBSY_ALLFINANCIALRATIOS,Not Active
DBTB,Debut Broadcasting Corp Inc,GOOG/PINK_DBTB,DMDRN/DBTB_ALLFINANCIALRATIOS,Active
DBTK,Double-Take Software Inc.,NA,DMDRN/DBTK_ALLFINANCIALRATIOS,Not Active
DCA.TO,Dundee Corp. 'A',NA,DMDRN/DCA_TO_ALLFINANCIALRATIOS,Active
DCAI,Dialysis Corp Amer,NA,DMDRN/DCAI_ALLFINANCIALRATIOS,Not Active
DCAP,DCAP Group Inc,NA,DMDRN/DCAP_ALLFINANCIALRATIOS,Not Active
DCBF,DCB Financial Corp,NA,DMDRN/DCBF_ALLFINANCIALRATIOS,Active
DCBK,Desert Community Bank,NA,DMDRN/DCBK_ALLFINANCIALRATIOS,Not Active
DCCA,Data Critical Corp Del,NA,DMDRN/DCCA_ALLFINANCIALRATIOS,Not Active
DCCN,Docucon Incorporated,NA,DMDRN/DCCN_ALLFINANCIALRATIOS,Not Active
DCEG,dot com Entertainment Gr,NA,DMDRN/DCEG_ALLFINANCIALRATIOS,Not Active
DCEL,Dobson Communications Corp,NA,DMDRN/DCEL_ALLFINANCIALRATIOS,Not Active
DCGN,deCODE GENETICS INC.,NA,DMDRN/DCGN_ALLFINANCIALRATIOS,Not Active
DCH,DCH Technology Inc.,NA,DMDRN/DCH_ALLFINANCIALRATIOS,Not Active
DCHK,Dealcheck.com Inc,NA,DMDRN/DCHK_ALLFINANCIALRATIOS,Not Active
DCHT,DCH Technology Inc.,NA,DMDRN/DCHT_ALLFINANCIALRATIOS,Not Active
DCI,Donaldson Company,GOOG/NYSE_DCI,DMDRN/DCI_ALLFINANCIALRATIOS,Active
DCIN,Digital Cinema Destinations Cor,GOOG/NASDAQ_DCIN,DMDRN/DCIN_ALLFINANCIALRATIOS,Active
DCIV,Discovery Investments Inc,NA,DMDRN/DCIV_ALLFINANCIALRATIOS,Not Active
DCIVE,Discovery Investments Inc,NA,DMDRN/DCIVE_ALLFINANCIALRATIOS,Not Active
DCLK,DoubleClick Inc.,NA,DMDRN/DCLK_ALLFINANCIALRATIOS,Not Active
DCMT,Document Capture Tech. Inc,NA,DMDRN/DCMT_ALLFINANCIALRATIOS,Active
DCN,Dana Corp.,NA,DMDRN/DCN_ALLFINANCIALRATIOS,Not Active
DCNAQ,Dana Corp.,NA,DMDRN/DCNAQ_ALLFINANCIALRATIOS,Not Active
DCNT,Docent Inc,NA,DMDRN/DCNT_ALLFINANCIALRATIOS,Not Active
DCO,Ducommun Inc.,GOOG/NYSE_DCO,DMDRN/DCO_ALLFINANCIALRATIOS,Active
DCOM,Dime Community Bancshares,GOOG/NASDAQ_DCOM,DMDRN/DCOM_ALLFINANCIALRATIOS,Active
DCP,DynCorp Int'l Inc,NA,DMDRN/DCP_ALLFINANCIALRATIOS,Not Active
DCPI,clark (dick) prods.,NA,DMDRN/DCPI_ALLFINANCIALRATIOS,Not Active
DCRN,Diacrin Inc,NA,DMDRN/DCRN_ALLFINANCIALRATIOS,Not Active
DCSR,DISC Inc.,NA,DMDRN/DCSR_ALLFINANCIALRATIOS,Not Active
DCT,Dct Industrial Trust Inc,GOOG/NYSE_DCT,DMDRN/DCT_ALLFINANCIALRATIOS,Active
DCTC,DCI Telecommunications Inc,NA,DMDRN/DCTC_ALLFINANCIALRATIOS,Not Active
DCTH,Delcath Systems,GOOG/NASDAQ_DCTH,DMDRN/DCTH_ALLFINANCIALRATIOS,Active
DCTI,Digital Courier Technologies,NA,DMDRN/DCTI_ALLFINANCIALRATIOS,Not Active
DCTM,Documentum Inc,NA,DMDRN/DCTM_ALLFINANCIALRATIOS,Not Active
DCTN,Delta Capital Technologies In,NA,DMDRN/DCTN_ALLFINANCIALRATIOS,Not Active
DCU,DRYCLEAN USA Inc.,NA,DMDRN/DCU_ALLFINANCIALRATIOS,Not Active
DCX,DaimlerChrysler AG,NA,DMDRN/DCX_ALLFINANCIALRATIOS,Not Active
DD,E.I. Du Pont De Nemours And Company,GOOG/NYSE_DD,DMDRN/DD_ALLFINANCIALRATIOS,Active
DD.TO,Digital Dispatch Systems Inc,YAHOO/TSX_DD_TO,DMDRN/DD_TO_ALLFINANCIALRATIOS,Active
DDAIF,Daimler AG,GOOG/PINK_DDAIF,DMDRN/DDAIF_ALLFINANCIALRATIOS,Active
DDD,3D Systems Corp.,GOOG/NYSE_DDD,DMDRN/DDD_ALLFINANCIALRATIOS,Active
DDDC,Deltathree.com,GOOG/PINK_DDDC,DMDRN/DDDC_ALLFINANCIALRATIOS,Active
DDDP,3-Dimensional Pharmaceuticals,NA,DMDRN/DDDP_ALLFINANCIALRATIOS,Not Active
DDE,Dover Downs Gaming & Entertainment Inc,GOOG/NYSE_DDE,DMDRN/DDE_ALLFINANCIALRATIOS,Active
DDEQ,Diamond Equities Inc.,NA,DMDRN/DDEQ_ALLFINANCIALRATIOS,Not Active
DDEV,Distinctive Devices Inc,NA,DMDRN/DDEV_ALLFINANCIALRATIOS,Not Active
DDIC,DDi Corp,NA,DMDRN/DDIC_ALLFINANCIALRATIOS,Not Active
DDIM,Data Dimensions Inc,NA,DMDRN/DDIM_ALLFINANCIALRATIOS,Not Active
DDMG,Digital Domain Media Group In,GOOG/NYSE_DDMG,DMDRN/DDMG_ALLFINANCIALRATIOS,Not Active
DDMGQ,Digital Domain Media Group Inc,GOOG/PINK_DDMGQ,DMDRN/DDMGQ_ALLFINANCIALRATIOS,Active
DDMX,Dynamex Inc,NA,DMDRN/DDMX_ALLFINANCIALRATIOS,Not Active
DDR,Ddr Corp,GOOG/NYSE_DDR,DMDRN/DDR_ALLFINANCIALRATIOS,Active
DDRX,Diedrich Coffee Inc,NA,DMDRN/DDRX_ALLFINANCIALRATIOS,Not Active
DDS,Dillard's,GOOG/NYSE_DDS,DMDRN/DDS_ALLFINANCIALRATIOS,Active
DDS.TO,Labopharm Inc,NA,DMDRN/DDS_TO_ALLFINANCIALRATIOS,Not Active
DDSI,Digital Desciptor Systems Inc,NA,DMDRN/DDSI_ALLFINANCIALRATIOS,Not Active
DDSU,DDS Technologies USA Inc,GOOG/PINK_DDSU,DMDRN/DDSU_ALLFINANCIALRATIOS,Not Active
DDUP,Data Domain Inc,NA,DMDRN/DDUP_ALLFINANCIALRATIOS,Not Active
DDVS,Distinctive Devices Inc,NA,DMDRN/DDVS_ALLFINANCIALRATIOS,Not Active
DDXS,diaDexus Inc,GOOG/PINK_DDXS,DMDRN/DDXS_ALLFINANCIALRATIOS,Active
DE,Deere & Company,GOOG/NYSE_DE,DMDRN/DE_ALLFINANCIALRATIOS,Active
DEAC,Dynamic Energy Alliance Corp,NA,DMDRN/DEAC_ALLFINANCIALRATIOS,Active
DEAR,Dearborn Bancorp Inc,GOOG/PINK_DEAR,DMDRN/DEAR_ALLFINANCIALRATIOS,Active
DEBS,Deb Shops,NA,DMDRN/DEBS_ALLFINANCIALRATIOS,Not Active
DECA,Decoma Intl Inc 'A',NA,DMDRN/DECA_ALLFINANCIALRATIOS,Not Active
DECC,D & E Communications Inc,NA,DMDRN/DECC_ALLFINANCIALRATIOS,Not Active
DECK,Deckers Outdoor Corp.,GOOG/NASDAQ_DECK,DMDRN/DECK_ALLFINANCIALRATIOS,Active
DECN,Decision Diagnostics Corp.,GOOG/PINK_DECN,DMDRN/DECN_ALLFINANCIALRATIOS,Active
DECT,Dectron Internationale Inc.,NA,DMDRN/DECT_ALLFINANCIALRATIOS,Not Active
DECTF,Dectron Internationale Inc.,NA,DMDRN/DECTF_ALLFINANCIALRATIOS,Not Active
DEEP,Superior Offshore Intl Inc,NA,DMDRN/DEEP_ALLFINANCIALRATIOS,Not Active
DEEPQ,Superior Offshore Intl Inc,NA,DMDRN/DEEPQ_ALLFINANCIALRATIOS,Not Active
DEER,Deer Consumer Products,GOOG/NASDAQ_DEER,DMDRN/DEER_ALLFINANCIALRATIOS,Not Active
DEI,Douglas Emmett,GOOG/NYSE_DEI,DMDRN/DEI_ALLFINANCIALRATIOS,Active
DEIX,Directed Electronics Inc,NA,DMDRN/DEIX_ALLFINANCIALRATIOS,Not Active
DEIXD,DEI Holdings Inc,NA,DMDRN/DEIXD_ALLFINANCIALRATIOS,Not Active
DEJ,Dejour Enterprises Ltd,GOOG/AMEX_DEJ,DMDRN/DEJ_ALLFINANCIALRATIOS,Active
DEK,Dekania corp,NA,DMDRN/DEK_ALLFINANCIALRATIOS,Not Active
DEL,Deltic Timber Corp.,GOOG/NYSE_DEL,DMDRN/DEL_ALLFINANCIALRATIOS,Active
DELI,Jerrys Famous Deli Inc,GOOG/PINK_DELI,DMDRN/DELI_ALLFINANCIALRATIOS,Not Active
DELL,Dell Inc.,GOOG/NASDAQ_DELL,DMDRN/DELL_ALLFINANCIALRATIOS,Not Active
DELT,Delta Galil Industries Ltd,NA,DMDRN/DELT_ALLFINANCIALRATIOS,Not Active
DELTY,Delta Galil Industries Ltd,GOOG/PINK_DELTY,DMDRN/DELTY_ALLFINANCIALRATIOS,Active
DEMP,Drug Emporium,NA,DMDRN/DEMP_ALLFINANCIALRATIOS,Not Active
DENHY,Denison Intl PLC ADR,NA,DMDRN/DENHY_ALLFINANCIALRATIOS,Not Active
DENN,Denny's Corp.,GOOG/NASDAQ_DENN,DMDRN/DENN_ALLFINANCIALRATIOS,Active
DENT,InterDent Inc,NA,DMDRN/DENT_ALLFINANCIALRATIOS,Not Active
DEO,Diageo Plc,GOOG/NYSE_DEO,DMDRN/DEO_ALLFINANCIALRATIOS,Active
DEP,Duncan Energy Partners L.P.,NA,DMDRN/DEP_ALLFINANCIALRATIOS,Not Active
DEPO,Depomed,GOOG/NASDAQ_DEPO,DMDRN/DEPO_ALLFINANCIALRATIOS,Active
DESC,Distributed Energy Systems,NA,DMDRN/DESC_ALLFINANCIALRATIOS,Not Active
DESI,Designs Inc.,NA,DMDRN/DESI_ALLFINANCIALRATIOS,Not Active
DEST,Destination Maternity Corp.,GOOG/NASDAQ_DEST,DMDRN/DEST_ALLFINANCIALRATIOS,Active
DETC,Detection Systems Inc.,NA,DMDRN/DETC_ALLFINANCIALRATIOS,Not Active
DEVC,Devcon International Corp.,NA,DMDRN/DEVC_ALLFINANCIALRATIOS,Not Active
DEX,Delaware Enhanced Global Dividend,GOOG/NYSE_DEX,DMDRN/DEX_ALLFINANCIALRATIOS,Not Active
DEXO,Dex One Corp.,GOOG/NYSE_DEXO,DMDRN/DEXO_ALLFINANCIALRATIOS,Not Active
DEXT,Dexterity Surgical Inc.,NA,DMDRN/DEXT_ALLFINANCIALRATIOS,Not Active
DEXTQ,Dexterity Surgical Inc.,NA,DMDRN/DEXTQ_ALLFINANCIALRATIOS,Not Active
DF,Dean Foods Company,GOOG/NYSE_DF,DMDRN/DF_ALLFINANCIALRATIOS,Active
DFBS,Dutchfork Bancshares Inc,NA,DMDRN/DFBS_ALLFINANCIALRATIOS,Not Active
DFC,Delta Financial Corp,NA,DMDRN/DFC_ALLFINANCIALRATIOS,Not Active
DFCO,Dalrada Financial Corp,GOOG/PINK_DFCO,DMDRN/DFCO_ALLFINANCIALRATIOS,Active
DFCU,Drummond Finl Corp,NA,DMDRN/DFCU_ALLFINANCIALRATIOS,Not Active
DFG,Delphi Fin'l `A',NA,DMDRN/DFG_ALLFINANCIALRATIOS,Not Active
DFIB,Cardiac Science Inc,NA,DMDRN/DFIB_ALLFINANCIALRATIOS,Not Active
DFNS,Defense Industries Int'l Inc,GOOG/PINK_DFNS,DMDRN/DFNS_ALLFINANCIALRATIOS,Active
DFRC,Diversified Financial Resourc,NA,DMDRN/DFRC_ALLFINANCIALRATIOS,Not Active
DFRG,Del Frisco's Restaurant Group Llc.,GOOG/NASDAQ_DFRG,DMDRN/DFRG_ALLFINANCIALRATIOS,Active
DFRH,Diversified Restaurant Hldgs,GOOG/PINK_DFRH,DMDRN/DFRH_ALLFINANCIALRATIOS,Not Active
DFS,Discover Financial Services,GOOG/NYSE_DFS,DMDRN/DFS_ALLFINANCIALRATIOS,Active
DFS.TO,Dofasco,NA,DMDRN/DFS_TO_ALLFINANCIALRATIOS,Not Active
DFT,Dupont Fabros Technology,GOOG/NYSE_DFT,DMDRN/DFT_ALLFINANCIALRATIOS,Active
DFXI,Direct Focus Inc,NA,DMDRN/DFXI_ALLFINANCIALRATIOS,Not Active
DFZ,R.G. Barry Corp.,GOOG/NASDAQ_DFZ,DMDRN/DFZ_ALLFINANCIALRATIOS,Active
DG,Dollar General Corp.,GOOG/NYSE_DG,DMDRN/DG_ALLFINANCIALRATIOS,Active
DGAS,Delta Natural Gas Company,GOOG/NASDAQ_DGAS,DMDRN/DGAS_ALLFINANCIALRATIOS,Active
DGC,DGSE Companies Inc,NA,DMDRN/DGC_ALLFINANCIALRATIOS,Not Active
DGEN,Deltagen Inc,NA,DMDRN/DGEN_ALLFINANCIALRATIOS,Not Active
DGFX,DigitalFX International inc,NA,DMDRN/DGFX_ALLFINANCIALRATIOS,Not Active
DGHG,Diversified Global Holdings Gr,GOOG/PINK_DGHG,DMDRN/DGHG_ALLFINANCIALRATIOS,Not Active
DGI,Digitalglobe Inc,GOOG/NYSE_DGI,DMDRN/DGI_ALLFINANCIALRATIOS,Active
DGIC,Donegal Group,NA,DMDRN/DGIC_ALLFINANCIALRATIOS,Not Active
DGICA,Donegal Group,GOOG/NASDAQ_DGICA,DMDRN/DGICA_ALLFINANCIALRATIOS,Active
DGICB,Donegal Group,GOOG/NASDAQ_DGICB,DMDRN/DGICB_ALLFINANCIALRATIOS,Active
DGII,Digi International Inc.,GOOG/NASDAQ_DGII,DMDRN/DGII_ALLFINANCIALRATIOS,Active
DGIN,Digital Insight Corp,NA,DMDRN/DGIN_ALLFINANCIALRATIOS,Not Active
DGIT,Dg Fastchannel,GOOG/NASDAQ_DGIT,DMDRN/DGIT_ALLFINANCIALRATIOS,Not Active
DGIX,Dyna Group Intl Inc.,GOOG/PINK_DGIX,DMDRN/DGIX_ALLFINANCIALRATIOS,Not Active
DGJL,D G Jewellery of Canada,NA,DMDRN/DGJL_ALLFINANCIALRATIOS,Not Active
DGJLQ,D G Jewellery of Canada,NA,DMDRN/DGJLQ_ALLFINANCIALRATIOS,Not Active
DGLH,Digital Lighthouse Corp,NA,DMDRN/DGLH_ALLFINANCIALRATIOS,Not Active
DGLP,DigitalPost Interactive Inc.,NA,DMDRN/DGLP_ALLFINANCIALRATIOS,Not Active
DGLPQ,DigitalPost Interactive Inc.,GOOG/PINK_DGLPQ,DMDRN/DGLPQ_ALLFINANCIALRATIOS,Active
DGLV,Digital Lava Inc,GOOG/PINK_DGLV,DMDRN/DGLV_ALLFINANCIALRATIOS,Not Active
DGLY,Digital Ally,GOOG/NASDAQ_DGLY,DMDRN/DGLY_ALLFINANCIALRATIOS,Active
DGMF,DME Interactive Holdings Inc,NA,DMDRN/DGMF_ALLFINANCIALRATIOS,Not Active
DGNG,Diguang Intl Development Co,GOOG/PINK_DGNG,DMDRN/DGNG_ALLFINANCIALRATIOS,Active
DGRLF,Digital Rooster.com Ltd.,NA,DMDRN/DGRLF_ALLFINANCIALRATIOS,Not Active
DGSE,Dallas Gold & Silver Exchange,GOOG/AMEX_DGSE,DMDRN/DGSE_ALLFINANCIALRATIOS,Not Active
DGTC,Del Global Technologies Corp.,GOOG/PINK_DGTC,DMDRN/DGTC_ALLFINANCIALRATIOS,Not Active
DGTT,DigiTEC 2000 Inc,NA,DMDRN/DGTT_ALLFINANCIALRATIOS,Not Active
DGTTE,DigiTEC 2000 Inc,NA,DMDRN/DGTTE_ALLFINANCIALRATIOS,Not Active
DGTW,DigitalTown Inc,GOOG/PINK_DGTW,DMDRN/DGTW_ALLFINANCIALRATIOS,Active
DGX,Quest Diagnostics Inc.,GOOG/NYSE_DGX,DMDRN/DGX_ALLFINANCIALRATIOS,Active
DHB,DHB Industries Inc,NA,DMDRN/DHB_ALLFINANCIALRATIOS,Not Active
DHBT,DHB Cap Group Inc,NA,DMDRN/DHBT_ALLFINANCIALRATIOS,Not Active
DHC,Danielson Holding,NA,DMDRN/DHC_ALLFINANCIALRATIOS,Not Active
DHCC,Diamondhead Casino Corp,GOOG/PINK_DHCC,DMDRN/DHCC_ALLFINANCIALRATIOS,Active
DHI,D.R. Horton,GOOG/NYSE_DHI,DMDRN/DHI_ALLFINANCIALRATIOS,Active
DHIL,Diamond Hill Investment Group,GOOG/NASDAQ_DHIL,DMDRN/DHIL_ALLFINANCIALRATIOS,Active
DHOM,Dominion Homes Inc,NA,DMDRN/DHOM_ALLFINANCIALRATIOS,Not Active
DHPI,Desert Health Products Inc,NA,DMDRN/DHPI_ALLFINANCIALRATIOS,Not Active
DHPIQ,Desert Health Products Inc,NA,DMDRN/DHPIQ_ALLFINANCIALRATIOS,Not Active
DHR,Danaher Corp.,GOOG/NYSE_DHR,DMDRN/DHR_ALLFINANCIALRATIOS,Active
DHRM,Dehaier Medical Systems,GOOG/NASDAQ_DHRM,DMDRN/DHRM_ALLFINANCIALRATIOS,Active
DHT,Dht Holdings,GOOG/NYSE_DHT,DMDRN/DHT_ALLFINANCIALRATIOS,Active
DHTI,Dynamic Healthcare Technol,NA,DMDRN/DHTI_ALLFINANCIALRATIOS,Not Active
DHTT,Hitsgalore.com Inc,NA,DMDRN/DHTT_ALLFINANCIALRATIOS,Not Active
DHULZ,Dorchester Hugoton,NA,DMDRN/DHULZ_ALLFINANCIALRATIOS,Not Active
DHX,Dice Holdings,GOOG/NYSE_DHX,DMDRN/DHX_ALLFINANCIALRATIOS,Active
DHX.TO,DHX Media Ltd,YAHOO/TSX_DHX_TO,DMDRN/DHX_TO_ALLFINANCIALRATIOS,Active
DIAC,Diapulse Corp Of America,GOOG/PINK_DIAC,DMDRN/DIAC_ALLFINANCIALRATIOS,Not Active
DIAL,Westwood One Inc Cl A,GOOG/NASDAQ_DIAL,DMDRN/DIAL_ALLFINANCIALRATIOS,Not Active
DIAN,DIANON Systems,NA,DMDRN/DIAN_ALLFINANCIALRATIOS,Not Active
DICE,Dice Inc,NA,DMDRN/DICE_ALLFINANCIALRATIOS,Not Active
DICEC,Dice Inc,NA,DMDRN/DICEC_ALLFINANCIALRATIOS,Not Active
DIDA,Digital Data Network,NA,DMDRN/DIDA_ALLFINANCIALRATIOS,Not Active
DIET,eDiets.com Inc,GOOG/PINK_DIET,DMDRN/DIET_ALLFINANCIALRATIOS,Not Active
DIG,Ultra Oil & Gas Proshares,NA,DMDRN/DIG_ALLFINANCIALRATIOS,Not Active
DIGA,Digital Angel Corp.,GOOG/PINK_DIGA,DMDRN/DIGA_ALLFINANCIALRATIOS,Active
DIGE,Digene Corp.,NA,DMDRN/DIGE_ALLFINANCIALRATIOS,Not Active
DIGF,Digital Fusion Inc,NA,DMDRN/DIGF_ALLFINANCIALRATIOS,Not Active
DIGI,Digital Impact Inc,GOOG/PINK_DIGI,DMDRN/DIGI_ALLFINANCIALRATIOS,Not Active
DIGL,Digital Lightwave,NA,DMDRN/DIGL_ALLFINANCIALRATIOS,Not Active
DIGM,Control Chief Hldgs,GOOG/PINK_DIGM,DMDRN/DIGM_ALLFINANCIALRATIOS,Not Active
DIGX,Digex Inc,NA,DMDRN/DIGX_ALLFINANCIALRATIOS,Not Active
DII,Decorator Inds Inc.,NA,DMDRN/DII_ALLFINANCIALRATIOS,Not Active
DIIB,Dorel Inds Inc,NA,DMDRN/DIIB_ALLFINANCIALRATIOS,Not Active
DIIBF,Dorel Inds Inc,GOOG/PINK_DIIBF,DMDRN/DIIBF_ALLFINANCIALRATIOS,Active
DIMC,Dimeco Inc,GOOG/PINK_DIMC,DMDRN/DIMC_ALLFINANCIALRATIOS,Active
DIN,Dineequity Inc,GOOG/NYSE_DIN,DMDRN/DIN_ALLFINANCIALRATIOS,Active
DINE,Advantica Restaurant,NA,DMDRN/DINE_ALLFINANCIALRATIOS,Not Active
DINIQ,Decorator Inds Inc.,GOOG/PINK_DINIQ,DMDRN/DINIQ_ALLFINANCIALRATIOS,Not Active
DIO,Diomed Holdings Inc,NA,DMDRN/DIO_ALLFINANCIALRATIOS,Not Active
DIOD,Diodes Inc.,GOOG/NASDAQ_DIOD,DMDRN/DIOD_ALLFINANCIALRATIOS,Active
DIOMQ,Diomed Holdings Inc,GOOG/PINK_DIOMQ,DMDRN/DIOMQ_ALLFINANCIALRATIOS,Not Active
DION,Dionics Inc,GOOG/PINK_DION,DMDRN/DION_ALLFINANCIALRATIOS,Not Active
DIR,DLJdirect Com,NA,DMDRN/DIR_ALLFINANCIALRATIOS,Not Active
DIRI,Direct Insite Corp,NA,DMDRN/DIRI_ALLFINANCIALRATIOS,Active
DIS,Walt Disney Company,GOOG/NYSE_DIS,DMDRN/DIS_ALLFINANCIALRATIOS,Active
DISCA,Discovery Communications Inc,GOOG/NASDAQ_DISCA,DMDRN/DISCA_ALLFINANCIALRATIOS,Active
DISH,Dish Network Corp.,GOOG/NASDAQ_DISH,DMDRN/DISH_ALLFINANCIALRATIOS,Active
DISK,Image Entertainment,GOOG/PINK_DISK,DMDRN/DISK_ALLFINANCIALRATIOS,Not Active
DISS,Diversified Sr Svcs,NA,DMDRN/DISS_ALLFINANCIALRATIOS,Not Active
DIT,Amcon Distributing Company,GOOG/AMEX_DIT,DMDRN/DIT_ALLFINANCIALRATIOS,Active
DITA,Dita Inc,NA,DMDRN/DITA_ALLFINANCIALRATIOS,Not Active
DITC,Ditech Networks,GOOG/NASDAQ_DITC,DMDRN/DITC_ALLFINANCIALRATIOS,Not Active
DIVX,DivX Inc,NA,DMDRN/DIVX_ALLFINANCIALRATIOS,Not Active
DIYH,DIY Home Warehouse,NA,DMDRN/DIYH_ALLFINANCIALRATIOS,Not Active
DJ,Dow Jones & Co.,NA,DMDRN/DJ_ALLFINANCIALRATIOS,Not Active
DJCO,Daily Journal Corp. [S.C.],GOOG/NASDAQ_DJCO,DMDRN/DJCO_ALLFINANCIALRATIOS,Active
DJI,Index-Dow Jones Ind Avg,NA,DMDRN/DJI_ALLFINANCIALRATIOS,Not Active
DJO,DJO Inc,NA,DMDRN/DJO_ALLFINANCIALRATIOS,Not Active
DJRT,Dale Jarrett Racing Adventure,GOOG/PINK_DJRT,DMDRN/DJRT_ALLFINANCIALRATIOS,Active
DJSP,DJSP Enterprises Inc,GOOG/PINK_DJSP,DMDRN/DJSP_ALLFINANCIALRATIOS,Active
DJT,Trump Hotel & Casino,NA,DMDRN/DJT_ALLFINANCIALRATIOS,Not Active
DK,Delek US Holdings,GOOG/NYSE_DK,DMDRN/DK_ALLFINANCIALRATIOS,Active
DKAM,Drinks Americas Holdings Ltd,GOOG/PINK_DKAM,DMDRN/DKAM_ALLFINANCIALRATIOS,Not Active
DKEY,Datakey Inc.,NA,DMDRN/DKEY_ALLFINANCIALRATIOS,Not Active
DKHR,D & K Healthcare Resources,NA,DMDRN/DKHR_ALLFINANCIALRATIOS,Not Active
DKIN,Drucker Inc,GOOG/PINK_DKIN,DMDRN/DKIN_ALLFINANCIALRATIOS,Not Active
DKL,Delek Logistics Partners LP,GOOG/NYSE_DKL,DMDRN/DKL_ALLFINANCIALRATIOS,Active
DKS,Dick's Sporting Goods Inc,GOOG/NYSE_DKS,DMDRN/DKS_ALLFINANCIALRATIOS,Active
DKWD,D & K Healthcare Resources,NA,DMDRN/DKWD_ALLFINANCIALRATIOS,Not Active
DL,China Distance Education Holdings,GOOG/NYSE_DL,DMDRN/DL_ALLFINANCIALRATIOS,Not Active
DLA,Delta Apparel,GOOG/AMEX_DLA,DMDRN/DLA_ALLFINANCIALRATIOS,Active
DLB,Dolby Laboratories,GOOG/NYSE_DLB,DMDRN/DLB_ALLFINANCIALRATIOS,Active
DLFG,Digital Lifestyles Group Inc,NA,DMDRN/DLFG_ALLFINANCIALRATIOS,Not Active
DLGC,Dialogic,GOOG/NASDAQ_DLGC,DMDRN/DLGC_ALLFINANCIALRATIOS,Not Active
DLGI,DataLogic Consulting Inc,GOOG/PINK_DLGI,DMDRN/DLGI_ALLFINANCIALRATIOS,Not Active
DLGS,Dialog Semiconductor Plc,NA,DMDRN/DLGS_ALLFINANCIALRATIOS,Not Active
DLHC,Dlh Holdings Corp,GOOG/NASDAQ_DLHC,DMDRN/DLHC_ALLFINANCIALRATIOS,Active
DLI,Del Labs,NA,DMDRN/DLI_ALLFINANCIALRATIOS,Not Active
DLIA,Delia*S Inc.,GOOG/NASDAQ_DLIA,DMDRN/DLIA_ALLFINANCIALRATIOS,Active
DLIF,dreamlife inc,NA,DMDRN/DLIF_ALLFINANCIALRATIOS,Not Active
DLK,Datalink.net Inc,NA,DMDRN/DLK_ALLFINANCIALRATIOS,Not Active
DLLR,Dollar Financial,GOOG/NASDAQ_DLLR,DMDRN/DLLR_ALLFINANCIALRATIOS,Active
DLM,Del Monte Foods,NA,DMDRN/DLM_ALLFINANCIALRATIOS,Not Active
DLP,Delta & Pine Land,NA,DMDRN/DLP_ALLFINANCIALRATIOS,Not Active
DLPH,Delphi Automotive Plc,GOOG/NYSE_DLPH,DMDRN/DLPH_ALLFINANCIALRATIOS,Active
DLPX,Delphax Technologies Inc,GOOG/PINK_DLPX,DMDRN/DLPX_ALLFINANCIALRATIOS,Not Active
DLSC,delSECUR Corp,GOOG/PINK_DLSC,DMDRN/DLSC_ALLFINANCIALRATIOS,Not Active
DLTK,Deltek Sys Inc,NA,DMDRN/DLTK_ALLFINANCIALRATIOS,Not Active
DLTR,Dollar Tree,GOOG/NASDAQ_DLTR,DMDRN/DLTR_ALLFINANCIALRATIOS,Active
DLVAZ,Digital Lava Inc,NA,DMDRN/DLVAZ_ALLFINANCIALRATIOS,Not Active
DLW,Delta Woodside Inds.,NA,DMDRN/DLW_ALLFINANCIALRATIOS,Not Active
DLWI,Delta Woodside Inds.,NA,DMDRN/DLWI_ALLFINANCIALRATIOS,Not Active
DLX,Deluxe Corp.,GOOG/NYSE_DLX,DMDRN/DLX_ALLFINANCIALRATIOS,Active
DM,Dolan Company,GOOG/NYSE_DM,DMDRN/DM_ALLFINANCIALRATIOS,Active
DMAN,DemandTec Inc,NA,DMDRN/DMAN_ALLFINANCIALRATIOS,Not Active
DMAX,Drugmax.com Inc.,NA,DMDRN/DMAX_ALLFINANCIALRATIOS,Not Active
DMC,Document Security Systems Inc,NA,DMDRN/DMC_ALLFINANCIALRATIOS,Not Active
DMCD,Detwiler Mitchell & Co,GOOG/PINK_DMCD,DMDRN/DMCD_ALLFINANCIALRATIOS,Not Active
DMCO,Detwiler Mitchell & Co,NA,DMDRN/DMCO_ALLFINANCIALRATIOS,Not Active
DMD,Demand Media Inc.,GOOG/NYSE_DMD,DMDRN/DMD_ALLFINANCIALRATIOS,Active
DMDD,Diamond Discoveries Int'l Corp,GOOG/PINK_DMDD,DMDRN/DMDD_ALLFINANCIALRATIOS,Active
DMDI,Diamond Intl Group Inc/NY/,NA,DMDRN/DMDI_ALLFINANCIALRATIOS,Not Active
DME,Dime Bancorp Inc.,NA,DMDRN/DME_ALLFINANCIALRATIOS,Not Active
DMEC,DIAMOND ENTMT CORP,GOOG/PINK_DMEC,DMDRN/DMEC_ALLFINANCIALRATIOS,Not Active
DMED,Diametrics Med Inc,NA,DMDRN/DMED_ALLFINANCIALRATIOS,Not Active
DMEDF,D. Medical Industries LTD,GOOG/PINK_DMEDF,DMDRN/DMEDF_ALLFINANCIALRATIOS,Not Active
DMEI,DME Interactive Holdings Inc,NA,DMDRN/DMEI_ALLFINANCIALRATIOS,Not Active
